occ,delta_e_2023,delta_DAIOE_2023,pctl_new_2023
27-2041.04,0.5216560668082133,0.2721250520378151,72.53886010362694
27-2042.01,0.4766983988799783,0.22724136349473487,62.17616580310881
27-2042.02,0.37833937278888063,0.14314068100228358,43.41968911917098
27-3011.00,0.5345357495604389,0.2857284675581403,76.58031088082902
27-3012.00,0.4757562694189989,0.22634402789148306,62.07253886010363
27-3021.00,0.5521337575973017,0.3048516862785159,83.52331606217616
27-3022.00,0.5886989755252727,0.34656648378450566,95.85492227979275
27-3031.00,0.5874074782402295,0.34504754549254574,95.44041450777202
27-3041.00,0.572815796300528,0.328117936491408,91.50259067357513
27-3042.00,0.5752555191377626,0.33091891229845677,93.16062176165804
27-3043.04,0.5766299899656844,0.33250214532782524,93.67875647668394
27-3043.05,0.5544943626238267,0.3074639981816038,84.66321243523316
27-3091.00,0.5589365160489513,0.3124100289729396,86.21761658031087
27-4011.00,0.39840717050171587,0.1587282735071833,47.04663212435233
27-4012.00,0.3960222940946786,0.1568336574200121,46.63212435233161
27-4013.00,0.5025202611048514,0.252526612820888,68.70466321243524
27-4014.00,0.44680479699610415,0.19963452661872985,56.26943005181347
27-4021.00,0.36001392368816126,0.1296100252493452,40.310880829015545
27-4031.00,0.3115040340619635,0.0970347632368769,32.33160621761658
27-4032.00,0.4896156353298997,0.23972347035950134,65.28497409326425
29-1011.00,0.42181384459908366,0.1779269194954599,51.60621761658031
29-1021.00,0.3840980100158998,0.14753128129817428,44.248704663212436
29-1022.00,0.3822620176003686,0.1461242500999045,43.93782383419689
29-1023.00,0.40973383064604507,0.16788181197588195,49.637305699481864
29-1024.00,0.37690674751378594,0.1420586963214208,43.10880829015544
29-1031.00,0.5654294790149077,0.31971049573906996,88.9119170984456
29-1041.00,0.4450200167286529,0.19804281528917048,55.5440414507772
29-1051.00,0.48604406626445434,0.23623883435088527,64.35233160621762
29-1061.00,0.44580963683464236,0.19874623229463573,55.95854922279793
29-1062.00,0.5456111328653516,0.29769150830661234,80.72538860103627
29-1063.00,0.545957315318294,0.298069390149559,80.93264248704664
29-1064.00,0.46590894868735877,0.2170711484669599,60.310880829015545
29-1065.00,0.5556310716957913,0.30872588783381355,85.07772020725389
29-1066.00,0.5832092635347083,0.34013304507269676,94.61139896373057
29-1067.00,0.4173726807669021,0.17419995465055035,51.0880829015544
29-1069.01,0.5635857207272992,0.3176288646077093,88.39378238341969
29-1069.02,0.4743024091783096,0.22496277535234865,61.865284974093264
