occ,exposure_A,exposure_B,social_share,pctl_A,pctl_B,occ_title_onetsoc2010,daioe_allapps,pctl_rank_allapps,corr_A_vs_DAIOE,corr_B_vs_DAIOE
39-1011.00,19.347384088193387,13.635649511478064,0.2094412360741364,37.512953367875646,26.010362694300518,Gaming Supervisors,35.734051,65.269997,0.21563178692020205,0.19664967078260237
39-5091.00,19.263966313633436,15.571618139452626,0.11856019525760747,37.409326424870464,39.48186528497409,"Makeup Artists, Theatrical and Performance",32.183685,51.919998,0.21563178692020205,0.19664967078260237
49-9031.00,19.246726058370086,16.21318202344163,0.09355177874838029,37.30569948186528,43.41968911917098,Home Appliance Repairers,28.780645,32.66,0.21563178692020205,0.19664967078260237
27-1024.00,19.216032143312386,15.278569766273607,0.12885572528295341,37.2020725388601,36.58031088082902,Graphic Designers,43.644405,91.050003,0.21563178692020205,0.19664967078260237
43-5032.00,19.202042412482772,14.269472931408236,0.1728364286748658,37.09844559585492,28.60103626943005,"Dispatchers, Except Police, Fire, and Ambulance",38.785458,75.209999,0.21563178692020205,0.19664967078260237
39-1021.00,19.199531394327984,13.465408959548599,0.21292047096398076,36.994818652849744,25.077720207253886,First-Line Supervisors of Personal Service Workers,30.052925,40.220001,0.21563178692020205,0.19664967078260237
33-9099.02,19.19566222855058,15.099777341664176,0.1356273272846482,36.89119170984456,34.61139896373057,Retail Loss Prevention Specialists,31.919634,50.98,0.21563178692020205,0.19664967078260237
47-2211.00,19.168550856152578,16.62371667920607,0.07654227469269073,36.78756476683938,46.424870466321245,Sheet Metal Workers,26.940905,21.07,0.21563178692020205,0.19664967078260237
27-1013.00,19.14803424104381,17.33563407756132,0.05227383536632219,36.6839378238342,51.81347150259067,"Fine Artists, Including Painters, Sculptors, and Illustrators",39.436096,78.110001,0.21563178692020205,0.19664967078260237
51-9151.00,19.146065797789486,15.334272770769607,0.12428998375084245,36.58031088082902,37.409326424870464,Photographic Process Workers and Processing Machine Operators,30.092192,40.73,0.21563178692020205,0.19664967078260237
51-8031.00,19.124989382359505,16.145789668441058,0.09225933742162082,36.476683937823836,43.21243523316062,Water and Wastewater Treatment Plant and System Operators,28.290049,29.24,0.21563178692020205,0.19664967078260237
27-2023.00,19.069306624910304,15.511502811965466,0.11468275692153992,36.373056994818654,38.86010362694301,"Umpires, Referees, and Other Sports Officials",31.655626,49.43,0.21563178692020205,0.19664967078260237
17-3011.02,19.045709132501365,15.776103867849832,0.10362524524558535,36.26943005181347,40.62176165803109,Civil Drafters,45.162014,95.080002,0.21563178692020205,0.19664967078260237
33-9031.00,19.044773975585166,15.278423566106058,0.1232571669839829,36.16580310880829,36.476683937823836,Gaming Surveillance Officers and Gaming Investigators,35.770351,65.370003,0.21563178692020205,0.19664967078260237
19-4011.02,18.997943530907687,15.931633299742082,0.09623339219134701,36.06217616580311,41.24352331606217,Food Science Technicians,38.435276,74.169998,0.21563178692020205,0.19664967078260237
45-4023.00,18.988987434305322,15.724695170299638,0.10379508882853217,35.95854922279793,40.51813471502591,Log Graders and Scalers,30.199266,41.669998,0.21563178692020205,0.19664967078260237
39-9032.00,18.979575360013065,12.500832555894366,0.259132452784669,35.854922279792746,20.10362694300518,Recreation Workers,24.509939,8.0200005,0.21563178692020205,0.19664967078260237
13-2071.00,18.963958116448925,13.44715639440758,0.20512893433498242,35.751295336787564,24.974093264248705,Credit Counselors,40.214836,81.110001,0.21563178692020205,0.19664967078260237
13-1199.03,18.961397757227083,14.594253182826664,0.14961863823012606,35.64766839378238,31.60621761658031,Customs Brokers,44.828033,94.050003,0.21563178692020205,0.19664967078260237
49-9071.00,18.947238960507516,16.870129397005197,0.06156175553315703,35.5440414507772,48.29015544041451,"Maintenance and Repair Workers, General",29.418663,36.389999,0.21563178692020205,0.19664967078260237
47-4071.00,18.91453772379772,16.242998835939378,0.08223662744921456,35.44041450777202,43.626943005181346,Septic Tank Servicers and Sewer Pipe Cleaners,24.96172,10.61,0.21563178692020205,0.19664967078260237
53-7011.00,18.898738272824595,16.13863394861219,0.08551232814998434,35.33678756476684,43.10880829015544,Conveyor Operators and Tenders,27.904947,27.07,0.21563178692020205,0.19664967078260237
53-2031.00,18.896948257626335,13.933097166181827,0.17813164697841483,35.233160621761655,27.357512953367877,Flight Attendants,22.413925,2.8499999,0.21563178692020205,0.19664967078260237
49-3052.00,18.854565582329762,15.682061844418811,0.10115072142251597,35.129533678756474,40.41450777202073,Motorcycle Mechanics,28.662645,31.940001,0.21563178692020205,0.19664967078260237
51-7021.00,18.84766418331142,15.935070237839598,0.0913894291647219,35.02590673575129,41.347150259067355,Furniture Finishers,27.260681,23.139999,0.21563178692020205,0.19664967078260237
31-9099.02,18.800019442736364,15.128390229228081,0.12134897229232916,34.92227979274612,34.818652849740936,Endoscopy Technicians,28.119421,28.209999,0.21563178692020205,0.19664967078260237
53-4021.00,18.769001107710924,16.351400830470915,0.07392639634687444,34.818652849740936,44.870466321243526,"Railroad Brake, Signal, and Switch Operators",24.933441,10.09,0.21563178692020205,0.19664967078260237
45-4021.00,18.74628277079915,17.381288229663355,0.039266207518676904,34.715025906735754,52.33160621761658,Fallers,22.783625,3.3599999,0.21563178692020205,0.19664967078260237
51-9032.00,18.728115158557625,16.75943924322971,0.05873334682493028,34.61139896373057,47.56476683937824,"Cutting and Slicing Machine Setters, Operators, and Tenders",27.968424,27.690001,0.21563178692020205,0.19664967078260237
49-2011.00,18.697143182006243,15.225127299291515,0.11402255674001144,34.50777202072539,36.26943005181347,"Computer, Automated Teller, and Office Machine Repairers",31.47319,48.709999,0.21563178692020205,0.19664967078260237
47-2231.00,18.682779832647896,15.516892342650582,0.1020142248875241,34.40414507772021,38.96373056994819,Solar Photovoltaic Installers,28.463373,30.280001,0.21563178692020205,0.19664967078260237
47-4091.00,18.67589977758124,14.503678043640562,0.14383323048769953,34.30051813471503,30.259067357512954,Segmental Pavers,24.193455,6.8800001,0.21563178692020205,0.19664967078260237
27-3043.04,18.630164350772777,14.372219020877044,0.14813110361422457,34.196891191709845,29.533678756476682,Copy Writers,45.85228,96.839996,0.21563178692020205,0.19664967078260237
29-2021.00,18.629435914187074,14.545366203862711,0.14039074895342907,34.09326424870466,30.984455958549223,Dental Hygienists,28.652187,31.83,0.21563178692020205,0.19664967078260237
51-9041.00,18.580427605652986,16.948379945638973,0.0481476006924768,33.98963730569948,48.9119170984456,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",27.657436,25.620001,0.21563178692020205,0.19664967078260237
29-2051.00,18.575205474835087,14.457183377937476,0.14242131365581068,33.8860103626943,30.05181347150259,Dietetic Technicians,31.094183,47.259998,0.21563178692020205,0.19664967078260237
13-1071.00,18.538792328981035,13.680228617881331,0.17757611538556853,33.78238341968912,26.1139896373057,Human Resources Specialists,42.589371,87.839996,0.21563178692020205,0.19664967078260237
47-4051.00,18.52517549922466,15.581735598368187,0.09445160592908299,33.67875647668394,39.689119170984455,Highway Maintenance Workers,23.761038,5.75,0.21563178692020205,0.19664967078260237
45-4022.00,18.51455468477836,16.329758690669014,0.06689615062584366,33.575129533678755,44.766839378238345,Logging Equipment Operators,26.061281,15.89,0.21563178692020205,0.19664967078260237
