occ_code_onet,aei_usage
25-1066.00,0.11020438290452841
25-1067.00,0.04674808780725049
25-1071.00,0.03370419871522849
25-1072.00,0.028128633074094137
25-1081.00,0.05802882653644022
25-1082.00,0.10275983908931517
25-1111.00,0.033892496326793115
25-1112.00,0.08665495434131656
25-1113.00,0.10927223191835315
25-1121.00,0.12426312276017805
25-1122.00,0.03436353549302685
25-1123.00,0.5199571036338357
25-1124.00,0.3711352894629662
25-1125.00,0.09283742963955983
25-1126.00,0.04950408012196901
25-1191.00,0.3268161818174345
25-1192.00,0.034890229125732856
25-1193.00,0.16723609187995675
25-1194.00,0.37888903039739663
25-2011.00,0.03722397385686319
25-2012.00,0.015689337147767105
25-2021.00,0.05475188045214201
25-2022.00,0.06035495710795291
25-2023.00,0.04599481880262366
25-2031.00,0.05387764154130627
25-2032.00,0.040916489278607936
25-2051.00,0.03834195850514045
25-2052.00,0.06011600958788585
25-2053.00,0.03591604649392137
25-2054.00,0.051995521323894414
25-2059.01,0.017871155133951398
25-3011.00,0.2595023015051645
25-3021.00,0.22905172472105062
25-3099.02,2.141868213582899
25-4011.00,0.8836978090374632
25-4012.00,0.1804575837376594
25-4013.00,0.041288530826715
25-4021.00,0.5990945281398793
25-4031.00,0.3057610852515719
25-9011.00,0.07025212707829175
25-9021.00,0.0563865756812605
25-9031.00,0.21465927718366998
25-9031.01,1.45773163687456
25-9041.00,0.06975726228095668
27-1011.00,0.30432317621780586
27-1012.00,0.3499254341458203
27-1013.00,0.49258655185305333
27-1014.00,0.7289171723313432
27-1021.00,0.0279365183703147
27-1022.00,0.0374883426660474
27-1024.00,0.11010274887124111
27-1025.00,0.0220821744471238
27-1026.00,0.0128384735157697
27-1027.00,0.07210086726456269
27-2011.00,1.0429975884211344
27-2012.01,0.07281982178144569
27-2012.02,0.0697385881376609
27-2012.03,0.0083193308382186
27-2012.04,0.0329691999884964
27-2012.05,0.0021568635506493
27-2022.00,0.0192063563795913
27-2023.00,0.0018487401862708
27-2032.00,0.08452850962782779
27-2041.01,0.011503272270129601
27-2041.04,0.1584781170786613
27-2042.01,0.0503268161818171
27-2042.02,0.0245471613621517
27-3011.00,0.0263959015484223
27-3012.00,0.0041083115250463
27-3021.00,0.062035504028199295
27-3022.00,0.2002801868460078
27-3031.00,0.3995332958107544
27-3041.00,0.8381982588975754
27-3042.00,1.3527642774096273
27-3043.04,0.9176940869072214
27-3043.05,0.7328200682801369
27-3091.00,0.8918117242994296
27-4011.00,0.05320263424934945
27-4012.00,0.039131667276066096
27-4013.00,0.011297856693877301
27-4014.00,0.0074976685332094
27-4021.00,0.070457542654544
27-4031.00,0.0035947725844155
27-4032.00,0.060392179418180494
29-1011.00,0.0200280186846006
29-1021.00,0.039131667276066
29-1022.00,0.0015406168218923
29-1023.00,0.003902895948794
29-1024.00,0.0020541557625231
29-1031.00,0.39768455562448357
29-1041.00,0.012016811210760401
29-1051.00,0.1482073382660457
29-1061.00,0.0031839414319108
29-1062.00,0.028458616293289433
29-1063.00,0.028407262399226384
29-1064.00,0.036110346508688246
29-1065.00,0.03602475668524953
29-1066.00,0.0381045893948046
29-1067.00,0.0041083115250463
29-1069.01,0.1067133918630781
29-1069.03,0.0031839414319108
29-1069.04,0.0091409931432279
29-1069.05,0.05089170901651125
29-1069.06,0.051867433003709607
29-1069.07,0.0817553993484215
29-1069.08,0.011503272270129601
29-1069.09,0.0165359538883112
29-1069.10,0.08796922053005385
